State,Year,HLp,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerNPIS,PerReferOP,PerReDirDiag,PerOPS,PerNPOS,PerD,PerDHL,PerHL3,PerLTF,PerEI,PerEI6,NPIS,ReferOP,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,TotPas,TotNotPas,HL,NHL,HL3,LTF,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC,Pop_with_insur,Pop_without_insur,Total_population,Population_under_5yr,White_alone_male_under_5yr,White_alone_female_under_5yr,Black_male_under_5yr,Black_female_under_5yr,Median_household_income,White_under_5yr,Black_under_5yr,Percent_insured,Percent_uninsured,percent_White_under_5yr,percent_Black_under_5yr,Health_Spending_per_Capita
Georgia,2015,1.7208889442618867,10.706888227873728,2.7565370419398545,0.8254037470215383,7.132734266714426,1.3081870707511174,0.8098300914173584,97.15984747609248,2.840152523907517,NA,NA,NA,NA,NA,66.61818181818182,24.126637554585155,65.15837104072398,25.745454545454542,76.01809954751131,47.05882352941176,NA,NA,NA,NA,NA,106,168,104,132176,128422,3754,NA,NA,NA,NA,NA,NA,NA,NA,NA,915,127047,1375,221,694,144,354,136,32,91,13,8132502,1680015,10006693,665305,180782,171761,113067,109572,49620,352543,222639,81.2706255703058,16.78891318040835,52.989681424309154,33.46420062978634,7055
Hawaii,2015,4.058129969838223,13.435700575815739,1.2613106663010694,0.9322731011790513,11.296956402522621,2.1935837674801206,1.7000274197970935,99.16793561018056,0.8320643898194474,4.304908143679737,110.828025477707,12.48407643312102,88.42975206611571,15.537383177570094,84.08163265306122,35.92233009708738,63.51351351351351,9.387755102040817,54.054054054054056,41.891891891891895,785,870,856,723,133,17,40,31,18388,18235,153,167,2,11,3,17267,14,545,128,98,205,17990,245,74,131,47,23,40,0,31,NA,1272129,80221,1406299,91057,9696,8850,1026,1029,69515,18546,2055,90.45935466070871,5.704405677597723,20.367462139099686,2.256828140615219,7747
Idaho,2015,2.8619452141916137,23.077272520783172,5.496751919320401,1.2719756507518285,16.35397265252351,1.7716803706900468,1.362831054376959,99.36803141786666,0.6319685821333454,2.612092854222505,71.47826086956522,57.913043478260875,37.634408602150536,15.714285714285714,70.86614173228347,17.5,79.36507936507937,23.818897637795274,61.904761904761905,47.61904761904761,575,411,280,236,44,28,39,30,22153,22013,140,38,12,112,7,21269,131,86,25,333,359,21505,508,63,296,50,121,39,0,30,0,1361030,234794,1616547,114833,51782,50049,428,325,47583,101831,753,84.19365474681528,14.524415312391165,88.677470761889,0.6557348497383156,6843
Illinois,2015,1.844725671440473,11.19398050805993,4.820089657634784,0.9917879953981036,5.388714774996363,1.1835336745084037,0.8661615159810105,99.16727864036929,0.8327213596307176,3.2259557530315655,105.77987292477967,12.338593974175035,78.44872462259241,9.975669099756692,48.13939751919669,34.23312883435583,63.799283154121866,43.059657412876554,64.15770609318996,46.95340501792115,4879,5161,4521,4070,451,150,179,131,152512,151242,1270,326,82,425,51,145479,640,3319,318,602,814,149549,1693,279,535,178,729,179,0,131,NA,11295589,1398635,12873761,801195,267158,257005,63828,61208,57574,524163,125036,87.74117369430736,10.864229963566979,65.42264991668695,15.606188256292164,8300
Indiana,2015,1.359087847589724,40.91696334071009,4.52227460790917,3.1872414124891755,33.21947464639661,0.9501587607043201,0.7456942172616184,98.99980948752143,1.0001905124785673,0,NA,NA,NA,NA,81.18753674309231,4.091238233164374,55.75221238938053,11.052322163433274,69.91150442477876,54.86725663716814,0,0,0,0,0,265,79,62,83984,83144,840,0,0,0,0,0,0,0,0,0,2761,79742,3402,113,2648,63,376,79,0,62,0,5640622,828342,6568645,420939,166446,158001,23646,23142,49255,324447,46788,85.87192640186827,12.610546010630808,77.07696364556385,11.115149701025565,8368
Iowa,2015,1.7406885959298606,14.94944323563292,2.0990656597977733,3.327787021630616,9.548188915909382,0.6399590426212722,0.40957378727761423,98.92127320148894,1.0787267985110531,5.255343658005888,98.63614223088165,10.813443740867024,82.51001335113484,10.302049622437973,63.869863013698634,18.230563002680967,51.470588235294116,14.04109589041096,36.76470588235294,23.52941176470588,2053,2025,1854,1663,191,130,25,16,39491,39065,426,183,11,0,0,36818,171,1480,180,222,372,38481,584,68,304,35,82,25,0,16,NA,2826406,222701,3093526,196570,85701,81781,4932,4462,53183,167482,9394,91.36519298690231,7.198937393770086,85.20221803937528,4.778959149412423,8358
Kansas,2015,1.4310461700685395,19.356782405663928,1.4812583163867339,1.3055158042730537,16.59511435816324,1.230197584795762,0.9289247068865958,98.96884162401233,1.0311583759876757,NA,NA,NA,NA,NA,85.73281452658884,8.623298033282904,68.42105263157895,7.652399481193256,85.96491228070175,64.91228070175438,NA,NA,NA,NA,NA,52,49,37,40246,39831,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,660,39060,771,57,603,39,59,49,0,37,NA,2515753,318119,2892987,200720,81845,78171,6558,6390,52205,160016,12948,86.96039767893876,10.996212565075474,79.72100438421683,6.450777202072539,7634
Kentucky,2015,1.6893794346210158,29.057326275481472,4.655178886511244,1.2388782520554116,23.182040019521718,1.4078161955175132,0.9385441303450088,99.4827360833598,0.5172639166402121,3.1854187783909595,53.62404242781379,69.9469652327637,32.9518359561278,20.549927641099856,79.78036175710595,7.28744939271255,50,16.020671834625322,83.33333333333334,55.55555555555556,1697,910,691,549,142,66,75,50,53551,53274,277,0,NA,346,54,51177,219,203,88,1187,1234,51726,1548,90,1144,45,248,74,1,50,0,3821976,490262,4397353,276451,116222,109954,12760,11336,43740,226176,24096,86.91537841060293,11.149025334104405,81.81413704417781,8.716192019562238,8306
Louisiana,2015,1.3153773880363293,51.315377388036325,8.29940494832446,5.512057626057,37.51957406827435,1.0178515502662073,0.5793924209207642,98.69407310099683,1.3059268990031683,5.125274036955841,125.42010388023219,0,81.29110840438489,8.091099790230746,73.11565456209948,3.5058430717863103,5.952380952380952,16.173329264571255,77.38095238095238,44.047619047619044,3273,4105,3337,3067,270,352,65,37,64705,63860,845,255,8,522,47,59795,768,2290,215,0,2395,60583,3277,84,2311,5,530,52,13,32,5,3822370,699752,4625253,309966,87162,83347,57449,56599,45047,170509,114048,82.64131713443568,15.128945378771713,55.008936463999284,36.79371285882968,8201
Maine,2015,2.5634664682047466,14.884644008930785,1.6538493343256429,2.0673116679070533,11.246175473414372,1.075002067311668,0.7442322004465393,97.74490785645004,2.255092143549952,NA,NA,NA,NA,NA,75.55555555555556,22.794117647058822,32.25806451612903,11.11111111111111,41.935483870967744,29.03225806451613,NA,NA,NA,NA,NA,25,13,9,12372,12093,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,11913,180,31,104,10,20,13,0,9,NA,1182794,132030,1329100,65406,30088,28918,859,812,49331,59006,1671,88.99209991723723,9.933789782559627,90.2149649879216,2.554811485184845,9591
