State,Year,HLp,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerNPIS,PerReferOP,PerReDirDiag,PerOPS,PerNPOS,PerD,PerDHL,PerHL3,PerLTF,PerEI,PerEI6,NPIS,ReferOP,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,TotPas,TotNotPas,HL,NHL,HL3,LTF,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC,Pop_with_insur,Pop_without_insur,Total_population,Population_under_5yr,White_alone_male_under_5yr,White_alone_female_under_5yr,Black_male_under_5yr,Black_female_under_5yr,Median_household_income,White_under_5yr,Black_under_5yr,Percent_insured,Percent_uninsured,percent_White_under_5yr,percent_Black_under_5yr,Health_Spending_per_Capita
Montana,2016,1.7423048203766696,24.973035758732266,17.091180618933045,2.4890068862523855,5.475815149755247,1.2445034431261928,1.078569650709367,98.1195050472159,1.8804949527841095,8.07267900107857,142.0349434737924,2.9804727646454263,85.47129695251596,7.960199004975125,21.92691029900332,31.818181818181817,42.857142857142854,68.43853820598007,71.42857142857143,61.904761904761905,973,1382,1206,1110,96,30,15,13,12284,12053,231,396,19,21,2,10642,176,693,75,29,65,11752,301,21,44,9,206,15,0,13,0,869709,138237,1023391,60995,25532,24434,113,69,48380,49966,182,84.98306121511719,13.507740443290981,81.91819001557505,0.29838511353389624,8680
Nebraska,2016,2.3006419533192326,7.3843185275891505,0.8534639504248767,0.964785335262904,5.603176370180712,1.855356413967123,1.447178002894356,99.38412745242661,0.6158725475733884,3.37303796059223,109.13091309130914,0.11001100110011,86.70694864048339,7.781649245063879,75.87939698492463,41.05960264900662,70.96774193548387,11.557788944723619,80.64516129032258,62.903225806451616,909,992,861,794,67,26,50,39,27116,26949,167,70,1,12,1,25956,131,712,65,1,150,26750,199,62,88,44,23,50,0,39,0,1673395,179414,1881259,130580,55142,51924,3850,3856,54384,107066,7706,88.95080369050726,9.536911185541172,81.99264818502068,5.901363149027416,8943
Nevada,2016,1.4143455044017896,14.287776013854813,5.25328330206379,1.2700245345648722,7.793332371193534,1.1545677586953382,0.7793332371193534,96.43165307428954,3.5683469257104687,2.693029297156877,87.78135048231512,14.255091103965704,82.77310924369748,42.00507614213198,54.54545454545454,18.14814814814815,48.97959183673469,36.76767676767677,81.63265306122449,55.10204081632652,933,819,788,457,331,44,40,27,35927,34645,1282,3,0,13,3,33693,31,441,328,133,269,34150,495,49,220,24,182,40,0,27,0,2350721,453395,2839172,180440,56319,52773,9571,8764,53094,109092,18335,82.79600531422543,15.969268505043019,60.45887829749501,10.161272445134117,7377
New Hampshire,2016,1.668752607425949,33.29161451814768,6.4246975385899034,2.419691280767626,24.530663329161452,0.917813934084272,0.6675010429703797,98.35863766926549,1.6413623307345095,NA,NA,NA,NA,NA,73.68421052631578,6.802721088435375,40,19.298245614035086,55.00000000000001,40,NA,NA,NA,NA,NA,29,11,8,12185,11985,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,11586,399,20,273,8,77,11,0,8,NA,1200297,110652,1327503,64676,29677,28374,621,463,68485,58051,1084,90.41764877367508,8.335348394692893,89.75663306326922,1.6760467561382892,10157
New Jersey,2016,1.4029743055277188,7.185232693309817,2.735799895779052,0.5611897222110875,3.898264320359161,1.0121457489878543,0.5912534573295386,99.40231900227118,0.5976809977288122,2.175612298071912,104.65223399355136,12.114233072316905,79.6844181459566,10,54.25383542538354,35.98971722365039,55.714285714285715,38.07531380753138,72.14285714285714,42.142857142857146,2171,2272,2020,1818,202,56,101,59,100388,99788,600,210,27,127,0,97253,252,1481,175,263,388,99071,717,140,248,78,273,101,0,59,NA,7868933,938966,8915456,528509,162669,156231,38660,38754,73702,318900,77414,88.26169968199046,10.531889787802216,60.339559023592784,14.647621894802171,9979
New Mexico,2016,1.8974494748918895,16.415144294413555,4.147912805577619,2.2945900626599594,10.016768158150207,1.4561821551495897,0.5736475156649898,97.29938602893822,2.7006139710617836,NA,NA,NA,NA,NA,61.02150537634409,18.94273127753304,44.18604651162791,25.268817204301076,76.74418604651163,30.23255813953488,NA,NA,NA,NA,NA,52,33,13,23291,22662,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,22290,372,43,183,19,94,33,0,13,NA,1753906,294187,2082669,133769,46777,44303,1576,1272,45674,91080,2848,84.21434226946289,14.12548033316864,68.08752401528008,2.1290433508510938,7717
New York,2016,1.4119215287339186,11.527769251681589,5.40213454472108,1.7977882819282813,4.332231274500347,1.1707548079874417,0.7892729042611967,97.07322056407331,2.926779435926686,2.9185558059791807,439.0024038461538,1.0516826923076923,96.68828951860704,5.858050847457627,37.58082921262837,32.59109311740891,53.41614906832298,46.86192468619247,82.91925465838509,55.90062111801242,6656,29220,28320,26661,1659,410,267,180,234934,228058,6876,22321,287,0,26,198768,900,4340,1346,70,987,225429,2629,322,665,172,1232,255,12,171,9,17785491,1668092,19697457,1170723,337872,320668,98624,96996,60741,658540,195620,90.29333583517914,8.468565256926313,56.25071003132253,16.70933260899461,10927
North Carolina,2016,1.7790093295512306,7.476758103920379,2.574234698060306,1.3035137483808557,3.607207857154569,1.369099345783666,0.7952253685090754,99.21831152034748,0.7816884796525105,2.8250996081260555,100.69645966337784,3.743470690655833,85.77382606279522,12.957563977972143,48.24561403508772,49.31818181818181,56.22119815668203,34.42982456140351,76.95852534562212,44.70046082949309,3446,3470,3087,2687,400,159,167,97,122939,121978,961,5,1,147,0,118379,383,2535,399,129,439,121066,912,217,222,122,314,164,3,96,1,8455476,1290195,9940828,605960,188669,180620,69744,66667,48256,369289,136411,85.05806558568361,12.978747846758843,60.942801505049836,22.511551917618323,7886
North Dakota,2016,1.0114370185948807,24.430094141445576,11.592624290049015,7.002256282579943,5.91301641640084,0.7780284758422158,0.3890142379211079,99.22031804847924,0.7796819515207658,11.328094608262662,102.67857142857142,2.403846153846154,85.68627450980392,7.246376811594203,24.203821656050955,17.105263157894736,61.53846153846154,47.452229299363054,76.92307692307693,38.46153846153847,1456,1495,1311,1216,95,90,10,5,12954,12853,101,67,7,0,0,11323,184,1149,88,35,75,12539,314,13,62,8,149,9,1,4,1,658279,62033,736162,51419,20984,20420,787,813,59114,41404,1600,89.42039931428137,8.426541983965485,80.5227639588479,3.11169023123748,9682
Ohio,2016,1.4907309009328138,28.46410438068249,6.6492502066359664,1.8597236981934113,19.962510331798324,0.7601251623568308,0.4796906364387767,97.69292882685431,2.3070711731456917,3.0862557562876374,103.18029650884743,0,11.819235225955968,10.196078431372548,70.13222711952295,7.467652495378927,62.87128712871287,23.360124449053668,50.99009900990099,32.17821782178218,4182,4315,510,458,52,252,103,65,138704,135504,3200,53,1,77,2,131189,3805,328,49,0,2704,131647,3857,202,2502,127,901,103,0,65,0,10443792,970187,11586941,695764,265364,251719,53638,51692,50674,517083,105330,90.13416051743079,8.373107276545207,74.31873451342696,15.138753945303293,9062
Oklahoma,2016,2.011834319526627,14.437869822485208,7.495069033530571,4.930966469428008,2.031558185404339,1.321499013806706,0.47337278106508873,99.34942781000157,0.6505721899984324,4.587771203155818,157.82459157351676,NA,89.37619177335876,10.4236513258153,14.071038251366119,99.02912621359224,56.86274509803921,51.91256830601093,65.68627450980392,23.52941176470588,2326,3671,3281,2939,342,250,67,24,51032,50700,332,408,13,782,142,47029,390,1749,187,NA,102,49968,732,102,0,58,380,54,13,20,4,3200667,594148,3875589,265818,86193,81944,10311,9914,48038,168137,20225,82.58530509814122,15.33052137365443,63.25267664341767,7.6085893355604215,8132
Oregon,2016,2.4696851707642673,28.679497163199468,2.447435754811436,1.5352097007453556,24.719101123595507,1.9579486038491487,1.401713205028368,97.98770384581843,2.0122961541815645,NA,NA,NA,NA,NA,86.19084561675717,9.99099909990999,64.86486486486487,8.533747090768037,79.27927927927928,56.75675675675676,NA,NA,NA,NA,NA,69,88,63,45868,44945,923,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110,43656,1289,111,999,72,110,88,0,63,0,3532593,410770,3982267,232001,93775,88885,2749,2502,53270,182660,5251,88.70809014061588,10.314978880120293,78.73241925681354,2.2633523131365814,8699
Pennsylvania,2016,1.2406388162049986,8.767180967848656,3.0376853439201175,0.6015218502812115,5.135492796775843,0.9323588679358777,0.44362236458239346,95.91449650586684,4.085503494133174,1.9827663989894433,97.53507773985591,10.200985968904059,71.62970784934882,30.073710073710075,58.57632933104632,24.15812591508053,65.45454545454545,34.6483704974271,75.15151515151514,35.75757575757576,2637,2572,2035,1423,612,80,124,59,138661,132996,5665,144,39,18,3,128366,537,1261,570,269,682,131830,1166,165,517,108,404,124,0,59,0,11579382,1000216,12783977,714598,264863,252019,51597,49697,54895,516882,101294,90.5773062639271,7.823981535636368,72.3318565123328,14.174962706304802,9980
Rhode Island,2016,3.626646306547051,29.20404657377362,6.489788127505249,6.012597824012216,16.79709868295476,2.9585798816568047,1.908761213972132,91.67104111986002,8.328958880139982,6.136667302920404,117.57387247278383,17.418351477449455,83.17972350230414,22.160664819944596,57.51633986928104,21.59090909090909,55.26315789473685,22.22222222222222,81.57894736842105,52.63157894736842,643,756,722,562,160,63,31,20,11430,10478,952,191,14,14,6,9610,34,357,140,112,175,10172,306,38,137,21,68,31,0,20,NA,955002,83430,1054491,54767,19059,19285,2878,2306,58387,38344,5184,90.56521108288264,7.911874070048961,70.01296401117462,9.465554074533934,10159
South Carolina,2016,2.155377954107616,18.12043412745341,7.686878898277605,1.8692658363057204,8.583363534056879,1.2588933183283422,0.8201880710321018,97.42803516009738,2.5719648399026225,2.550212676674233,95.88631264023934,28.646222887060585,55.97597597597598,23.283261802575105,47.368421052631575,25.11111111111111,69.02654867256636,42.421052631578945,58.4070796460177,38.05309734513274,1337,1282,932,715,217,98,66,43,53811,52427,1384,108,11,163,46,50762,350,444,160,383,449,51477,950,113,336,78,403,66,0,43,NA,4108301,627973,4834605,291499,88217,85399,43687,43498,46898,173616,87185,84.97697329978354,12.989127343392065,59.55972404708078,29.909193513528347,7669
South Dakota,2016,2.3586759965406086,19.97012343737715,13.68032077993553,2.201430930104568,4.166994260555075,0.3144901328720811,0.23586759965406084,98.51289598017195,1.4871040198280536,5.322745498859973,118.16838995568686,4.431314623338257,74.93975903614458,7.395498392282958,20.866141732283463,56.60377358490566,86.66666666666667,68.50393700787401,13.333333333333334,10,677,800,622,576,46,28,4,3,12911,12719,192,148,5,0,0,11889,178,428,41,30,52,12465,254,30,22,26,174,4,0,3,0,747562,86112,851058,60094,22946,21834,857,620,52078,44780,1477,87.83913669808638,10.118229309870772,74.51659067460977,2.457816088128599,10046
Tennessee,2016,1.591760299625468,50.51498127340824,7.40870786516854,2.715355805243446,40.40262172284644,0.8895131086142322,0.5500936329588014,98.72320757987174,1.276792420128257,NA,NA,NA,NA,NA,79.9814643188137,3.9397450753186556,34.55882352941176,14.666357738646896,55.88235294117647,34.55882352941176,NA,NA,NA,NA,NA,232,76,47,86545,85440,1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,81124,4316,136,3315,47,633,76,0,47,0,5687677,757920,6548009,402160,144451,137300,40448,39822,46574,281751,80270,86.86116650114562,11.574816100588743,70.05942908295206,19.95971752536304,8065
Texas,2016,1.1171527687238125,14.006590434411372,7.321568717677345,2.121823336477722,4.565754793914713,0.31188246632564104,0.10992578731149645,98.6933331987728,1.306666801227192,2.846310967270236,96.82054966768457,8.676127178013292,63.059765026391965,15.390846496557312,32.59718926811462,24.46808510638298,44.8512585812357,52.27231246577843,27.91762013729977,9.839816933638444,11134,10780,7407,6267,1140,830,122,43,396352,391173,5179,592,20,NA,NA,379427,3373,5675,1120,966,1785,385694,5479,437,1348,196,2864,122,0,43,NA,21364057,5114811,26956435,1970686,730283,695501,117145,112866,54727,1425784,230011,79.25401485767684,18.974359925561373,72.34962850499775,11.67162094823833,7393
Utah,2016,2.0544326830890842,8.78514547339999,1.2717916609599091,0.5674147410436519,6.965505096949657,1.4870179420454324,1.213093584300221,99.16375630578192,0.8362436942180831,4.320178442153046,114.08514492753623,1.8568840579710144,95.5078125,13.660531697341513,79.28730512249443,29.49438202247191,90.47619047619048,14.476614699331849,72.38095238095238,59.04761904761905,2208,2519,2445,2111,334,29,76,62,51540,51109,431,160,96,93,3,48549,74,1858,235,41,355,50660,449,105,250,95,65,76,0,62,0,2572238,350300,2948427,253964,110427,103701,1455,1246,62518,214128,2701,87.24102716465424,11.880911414798467,84.31431226473043,1.063536564237451,6398
Vermont,2016,1.4469162597214686,3.7981551817688555,0,0.5425935973955507,3.4364261168384878,1.4469162597214686,1.4469162597214686,99.29956896551724,0.7004310344827587,6.438777355760536,126.96629213483146,0,100,4.646017699115045,90.47619047619048,42.10526315789473,100,0,100,100,356,452,452,431,21,3,8,8,5568,5529,39,96,0,0,0,5064,0,335,21,0,18,5508,21,8,10,8,0,8,0,8,0,587407,32809,626249,30359,14441,13452,205,276,56104,27893,481,93.7976747268259,5.238970441469767,91.87720280641655,1.5843736618465694,11246
Virginia,2016,1.5279913949958281,13.90271117946862,3.900399087226193,0.9147843220040813,9.097580345205424,1.0555203715431707,0.7338379725966806,98.27024143517605,1.729758564823962,3.776752415131136,119.5368645195635,17.673675805163693,77.86614936954413,6.028898854010962,65.43745480838756,16.795580110497237,57.23684210526315,28.054953000723064,69.07894736842105,48.026315789473685,3757,4491,4014,3772,242,91,105,73,101228,99477,1751,256,44,1019,79,94322,477,2497,119,664,904,98094,1383,152,752,87,388,89,16,63,10,7232481,864477,8310301,510257,162805,154518,51152,49487,66149,317323,100639,87.0303133424409,10.402475193136807,62.18885777167193,19.7231983098713,7987
Washington,2016,2.125289812247124,12.05846251761604,3.5345728963040415,1.5002045733509115,7.035050234122835,1.4661090148656635,0.897849706778197,97.42885616210829,2.5711438378917064,5.059780879210801,137.4887690925427,4.761904761904762,91.29954208116217,8.820477343479764,58.3411875589067,30.210016155088855,55.61497326203209,29.3119698397738,68.98395721925134,42.24598930481284,4452,6121,5782,5272,510,132,129,79,90310,87988,2322,1763,118,0,NA,81655,339,3509,392,212,618,86927,1061,187,431,104,311,129,0,79,NA,6282974,684794,7073146,447143,157913,150428,10146,8801,62848,308341,18947,88.82856369711583,9.681604197057434,68.95802908689167,4.237346889026553,8097
West Virginia,2016,0.20692152501163932,32.27975790181574,26.899798251513115,0.20692152501163932,5.224768506543893,0.10346076250581966,0.05173038125290983,96.43801446744824,3.561985532551758,NA,NA,NA,NA,NA,16.185897435897438,3.9603960396039604,75,83.33333333333334,50,25,NA,NA,NA,NA,NA,4,2,1,20045,19331,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,18707,624,4,96,3,520,2,0,1,0,1642376,174780,1846092,101908,47322,45238,1907,1629,42644,92560,3536,88.96501366129098,9.467567163499977,90.82702044981748,3.46979628684696,10488
Wisconsin,2016,1.9139488592864797,9.784106568672485,0.9799418159546778,1.9445720410350635,6.874904302557036,1.255550451691931,0.7043331802174245,98.93206089525108,1.0679391047489206,NA,NA,NA,NA,NA,70.2660406885759,27.839643652561247,52,10.015649452269171,65.60000000000001,36.8,NA,NA,NA,NA,NA,127,82,46,66015,65310,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,64671,639,125,323,65,64,82,0,46,NA,5273102,408789,5754798,340319,134261,127557,15030,15353,54610,261818,30383,91.62966276140362,7.103446550165618,76.93311275597307,8.927800093441741,8809
Wyoming,2016,3.0395136778115504,6.838905775075988,0.30395136778115506,0.4559270516717325,6.231003039513678,2.2796352583586623,1.9756838905775078,98.09183064997018,1.9081693500298151,3.4954407294832825,94.34782608695652,5.6521739130434785,92.17391304347827,12.735849056603774,91.11111111111111,48.78048780487805,75,4.444444444444445,75,65,230,217,212,185,27,3,15,13,6708,6580,128,0,0,0,0,6350,5,185,27,13,40,6535,45,20,20,15,2,14,1,13,0,500207,73331,583029,37967,17128,16177,155,265,59143,33305,420,85.79453166137534,12.577590480061884,87.7209155319093,1.106223825954118,8976
Alabama,2017,1.6482091929330716,40.31630801140783,5.629838142153413,0.2592688618096966,34.445720211859694,0.7037297677691766,0.55557613244935,91.00530883963933,8.994691160360665,61.10596688766251,111.02254818765911,0.8576797187537883,98.41261241737999,4.379300853289292,85.43867707854847,4.78494623655914,71.91011235955057,13.964170877354157,42.69662921348314,33.70786516853933,32996,36633,36330,34739,1591,14,38,30,59335,53998,5337,81,9,3719,111,17082,303,30939,1471,283,1859,51821,2177,89,1770,64,304,38,0,30,0,4258663,512029,4850771,292163,92229,88131,44016,42862,46472,180360,86878,87.79352808038145,10.555620951803332,61.73266293130889,29.736140442150443,8154
Alaska,2017,0.8033741715203856,12.050612572805784,3.5147620004016873,1.506326571600723,7.129945772243422,0.4016870857601928,0.2008435428800964,96.00848438102584,3.991515618974161,2.6410925888732675,77.56653992395437,31.1787072243346,69.93006993006993,17,59.166666666666664,11.267605633802818,37.5,29.166666666666668,50,25,263,204,200,166,34,15,4,2,10372,9958,414,20,NA,3,NA,9672,4,143,34,82,70,9838,120,8,62,3,35,4,0,2,NA,603580,110458,738565,54267,15168,14794,653,844,76114,29962,1497,81.72334188595451,14.955758802542768,55.21219157130485,2.758582563989165,12303
Arizona,2017,2.1682461568445928,10.548882987794478,2.9356591224693642,1.2790216093746194,6.3463834141350155,1.1206665529758568,0.8526810729164129,98.96208787897052,1.0379121210294737,4.433941579165348,103.04945054945054,6.208791208791209,89.01181795323107,12.11864406779661,60.161662817551964,34.16506717850288,70.2247191011236,27.829099307159353,51.68539325842697,39.325842696629216,3640,3751,3540,3111,429,105,92,70,82955,82094,861,279,55,1,2,78117,211,2831,372,226,520,81228,866,178,342,125,241,92,0,70,NA,5887582,814408,6809946,434757,154550,147295,11244,10649,53510,301845,21893,86.45563415627672,11.959096298267271,69.42843933507685,5.035686601940855,7539
Arkansas,2017,1.798358997414859,16.634820726087444,10.846352703158368,2.444644262110824,3.3719231201528603,0.8429807800382151,0.3090929526806789,98.9435053380783,1.0564946619217082,NA,NA,NA,NA,NA,20.27027027027027,53.333333333333336,31.25,65.2027027027027,46.875,17.1875,NA,NA,NA,NA,NA,87,30,11,35968,35588,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,34996,592,64,55,20,386,5,25,1,10,2613437,311132,2977944,190144,68036,64358,17503,16821,43813,132394,34324,87.7597765438168,10.447879476578471,69.62828172332549,18.051581958936385,8409
California,2017,2.1863383050363634,6.29734633458545,0.33735783935279196,1.407820214222228,4.554330831262691,1.7797788576112037,1.38186961119509,99.58800852841729,0.41199147158271054,3.1060709273231737,98.91387593121215,1.2601824131448862,96.95579649708091,17.734767025089607,72.32142857142857,48.00569800569801,63.996043521266074,5.357142857142857,81.40454995054401,63.20474777448071,14363,14207,13950,11476,2474,651,823,639,464330,462417,1913,25,NA,NA,NA,448029,257,11451,2474,181,2105,459505,2912,1011,1094,647,156,823,0,639,NA,34446673,4041396,38982847,2493545,706896,679882,67598,65390,67169,1386778,132988,88.36366671731287,10.36711351533663,55.6147171998099,5.3332905562161494,8594
Colorado,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4841392,503311,5436519,334250,134889,127651,7614,7359,65458,262540,14973,89.05316067137814,9.257964517368558,78.54599850411368,4.479581151832461,7615
Connecticut,2017,2.1389201195601504,11.544684235061837,1.5082129048180548,0.24679847533386348,9.817094907724792,1.5082129048180548,0.8500836372610854,99.30559337726703,0.6944066227329666,NA,NA,NA,NA,NA,85.03562945368171,21.787709497206702,65.38461538461539,13.064133016627078,70.51282051282051,39.743589743589745,NA,NA,NA,NA,NA,9,55,31,36722,36467,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,36046,421,78,279,51,55,55,0,31,NA,3315021,226742,3594478,186188,63616,60137,12147,11378,73781,123753,23525,92.22538015255623,6.308064759333622,66.46668958257246,12.635078522783424,10989
Delaware,2017,1.0941916659068112,4.376766663627245,0,0,4.467949302452813,1.0941916659068112,0.8206437494301085,97.35463826009764,2.6453617399023526,0.3100209720069299,1858.8235294117649,0,97.78481012658227,5.501618122977346,102.08333333333333,24.489795918367346,75,0,100,75,34,632,618,584,34,0,12,9,11265,10967,298,0,0,584,14,10335,14,0,20,0,48,10919,48,12,36,9,0,12,0,9,0,867045,62094,943732,55282,16771,15986,6788,6590,63036,32757,13378,91.8740701809412,6.5796221808733835,59.25436851054593,24.19955862667776,11444
District of Columbia,2017,0.8153583870728635,40.0266844563042,34.68979319546364,1.1118523460084502,4.299162404566007,0,0,97.23243243243243,2.7675675675675677,4.958861463197688,107.77279521674141,NA,28.57142857142857,12.135922330097088,10.74074074074074,18.96551724137931,63.63636363636363,86.66666666666667,0,0,669,721,206,181,25,15,0,0,13875,13491,384,49,3,0,0,12770,515,132,22,NA,57,12951,540,11,46,7,468,0,0,NA,NA,630700,31158,672391,43607,7216,6918,10911,10992,77649,14134,21903,93.79958982199345,4.633910923852342,32.412227394684336,50.22817437567363,13131
Florida,2017,1.345109266775334,42.66051403724271,4.007304690601516,1.7421033212055541,36.915776543723055,0.7799765539981972,0.5744737493519656,95.76436069577197,4.235639304228036,NA,NA,NA,NA,NA,86.53382964747098,3.643724696356275,62.5,9.393474928837312,57.986111111111114,42.70833333333333,NA,NA,NA,NA,NA,373,167,123,223579,214109,9470,NA,NA,NA,NA,NA,NA,NA,NA,NA,7903,204975,9134,288,7615,180,858,167,0,123,NA,16984986,2982945,20278447,1105362,373003,355224,119947,116843,50883,728227,236790,83.75881052429706,14.70992823069735,65.88131309019126,21.42194140923969,8814
Georgia,2017,1.8803445477810374,12.624055926596341,4.40827663691405,1.5214406092004245,6.702140940016228,1.3809999375819237,0.7022033580925036,99.22197363226061,0.7780263677393883,4.222582859996256,123.30007390983,2.475979305247598,83.4141325106508,8.6121873899260315,53.0902348578492,28.055878928987195,44.81327800829876,34.91965389369592,73.44398340248964,37.344398340248965,5412,6673,5678,5189,489,195,177,90,129173,128168,1005,1003,76,292,24,121361,995,3894,389,134,858,126550,1618,241,617,108,565,154,23,78,12,8531369,1481625,10201635,657428,175703,169486,111340,108842,52977,345189,220182,83.62746755789637,14.523407277362892,52.505977840919456,33.4914241559532,7605
Hawaii,2017,3.545480964835803,9.93897122929381,1.9180470793374018,0.5231037489102005,7.555943039814008,2.150537634408602,1.5111886079628016,99.0957262988135,0.9042737011864992,3.5047951176983436,120.56384742951907,10.281923714759536,89.22686945500634,12.215909090909092,76.0233918128655,46.92307692307692,70.49180327868852,19.298245614035086,60.65573770491803,42.62295081967213,603,727,704,618,86,9,37,26,17362,17205,157,154,5,27,0,16416,23,437,81,62,129,17034,171,61,68,43,33,37,0,26,NA,1306313,63053,1421658,91417,10483,9717,839,781,74923,20200,1620,91.88658594401747,4.435173579018302,22.096546594178328,1.7720992813152914,8496
Idaho,2017,2.1432805873500844,27.58903734780428,7.84349491540882,1.6872634411053855,18.10388070591454,1.3224497241096265,1.140042865611747,98.08999821077116,1.9100017892288423,3.07355556568927,85.90504451038575,55.78635014836796,42.19895287958116,13.151364764267989,65.6198347107438,11.838790931989925,63.829787234042556,28.429752066115704,61.702127659574465,53.191489361702125,674,579,403,350,53,37,29,25,22356,21929,427,112,23,134,12,20974,176,104,18,376,396,21324,605,47,349,30,172,29,0,25,0,1438927,197418,1657375,114112,50841,49103,524,446,50985,99944,970,86.81963949015763,11.911486537446264,87.58412787436905,0.8500420639371845,7257
Illinois,2017,2.168006615199672,12.153344775590469,1.243824308079299,3.356241010068723,7.5602281965937275,1.222978090625456,1.0353621335408691,99.26539565169408,0.7346043483059266,3.5285697410204917,103.50531705395825,14.415124064592359,79.74281897127588,11.225130890052357,62.20697541452258,28.676470588235293,57.37179487179487,10.234419668381932,56.41025641025641,47.756410256410255,5078,5256,4775,4239,536,483,176,149,144976,143911,1065,332,89,477,12,137923,481,3430,435,732,1087,142162,1749,312,775,179,179,176,0,149,NA,11594340,1079822,12854526,785560,261830,249107,63078,61136,61229,510937,124214,90.19655800610617,8.400325301765308,65.0411171648251,15.812159478588523,8849
Indiana,2017,2.5105364483063637,36.64342577657526,4.448722618242364,3.1869504136531557,29.020760705551798,1.3918518133097457,1.0016129871481347,95.71691817321579,4.283081826784203,NA,NA,NA,NA,NA,79.19772807951722,8.650829224562976,54.40414507772021,12.140575079872203,55.44041450777202,39.89637305699482,NA,NA,NA,NA,NA,245,107,77,80316,76876,3440,NA,NA,NA,NA,NA,NA,NA,NA,NA,2230,74059,2817,193,2037,105,342,107,0,77,NA,5844104,671254,6614418,418329,165709,157794,23896,22091,52182,323503,45987,88.35401693693989,10.148345629199728,77.33219547294115,10.993022238477371,9015
Iowa,2017,1.9315235222522091,14.684870614383236,2.804677991215537,2.5136265015610944,9.393025347938826,1.0583690532888816,0.6879398846377732,98.72009194441543,1.2799080555845783,5.334180028575965,97.0734126984127,10.66468253968254,83.33333333333334,10.662983425414364,63.96396396396396,20.56338028169014,68.4931506849315,19.0990990990991,54.794520547945204,35.61643835616438,2016,1957,1810,1617,193,95,40,26,38284,37794,490,147,9,0,0,35622,147,1470,184,215,354,37239,555,73,281,50,106,40,0,26,NA,2901798,172418,3118102,196485,85197,80926,4949,4809,56570,166123,9758,93.06295945418078,5.529581777632675,84.54742092271674,4.966282413415782,8525
Kansas,2017,1.40946201100976,18.69531686301625,1.4626492567082414,1.1169321596681117,16.142329069489136,1.1435257825173524,0.8775895540249449,98.91621728265159,1.083782717348415,NA,NA,NA,NA,NA,86.34423897581792,8.731466227347612,39.62264150943396,7.823613086770982,81.13207547169812,62.264150943396224,NA,NA,NA,NA,NA,42,43,33,38015,37603,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,36900,703,53,553,21,55,41,2,31,2,2569336,274403,2903820,196826,80539,77100,6166,6035,55477,157639,12201,88.48124195025862,9.449724845203903,80.09053681932265,6.198876164734334,8060
Kentucky,2017,1.7620292380675768,28.32800851970181,3.485332558814987,1.1424145609449123,23.719624358601994,0.7551553877432472,0.38725917320166525,98.26474113819282,1.7352588618071807,4.042985768225385,113.9367816091954,NA,43.9260193358554,12.344497607655502,83.73205741626795,7.428571428571429,47.25274725274725,12.303485987696513,42.857142857142854,21.978021978021978,2088,2379,1045,916,129,59,39,20,52557,51645,912,0,NA,285,6,49266,1334,631,123,NA,1224,50182,1463,91,1133,43,180,32,7,18,2,3998992,341351,4424376,274140,115992,109172,11886,11207,46535,225164,23093,90.38544644487719,7.7152348715389465,82.13467571313927,8.423798059385716,8959
Louisiana,2017,1.3864065344847745,11.041141196318506,6.1135517062822595,2.2382948869995154,2.705998296223295,1.1358511366863213,0.6514440342759784,98.59843868375111,1.4015613162488882,3.8218050010857403,123.95104895104896,0,86.45980253878702,11.29690048939641,24.508320726172467,51.23456790123457,38.55421686746988,55.37065052950075,81.92771084337349,46.98795180722892,2288,2836,2452,2175,277,134,68,39,60718,59867,851,108,4,429,7,57031,384,1638,266,0,161,59206,661,83,78,32,366,55,13,30,9,3992645,566927,4663461,310431,87706,83157,56332,56407,46710,170863,112739,85.61549029787105,12.156786558309376,55.04057262322384,36.31692711101662,8984
