State,Year,HL,Total_population,Black_under_5yr,White_under_5yr,Pop_with_insur,Median_household_income,Health_Spending_per_Capita
Idaho,2017,47,1657375,970,99944,1438927,50985,7257
Illinois,2017,312,12854526,124214,510937,11594340,61229,8849
Indiana,2017,193,6614418,45987,323503,5844104,52182,9015
Iowa,2017,73,3118102,9758,166123,2901798,56570,8525
Kansas,2017,53,2903820,12201,157639,2569336,55477,8060
Kentucky,2017,91,4424376,23093,225164,3998992,46535,8959
Louisiana,2017,83,4663461,112739,170863,3992645,46710,8984
Maine,2017,21,1330158,1727,57795,1196879,53024,10399
Maryland,2017,94,5996079,112465,178105,5467934,78916,9592
Massachusetts,2017,148,6789319,35166,251084,6513408,74167,11746
Michigan,2017,167,9925568,96790,407042,9111760,52668,8940
Missouri,2017,113,6075300,51891,283589,5339971,51542,8824
Montana,2017,22,1029862,187,50115,896130,50801,9030
Nebraska,2017,51,1893921,7692,107232,1696460,56675,9189
Nevada,2017,65,2887725,18304,107136,2454719,55434,7642
New Hampshire,2017,20,1331848,1039,57497,1216855,71305,10573
New Jersey,2017,126,8960161,76337,320409,7998102,76475,10340
New Mexico,2017,53,2084828,2345,91673,1793939,46718,7973
New York,2017,334,19798228,195356,657233,18074610,62765,11558
North Carolina,2017,199,10052564,133031,367830,8658835,50320,8105
North Dakota,2017,23,745475,1887,41336,670578,61285,9961
Ohio,2017,261,11609756,104314,514946,10588908,52407,9400
Oklahoma,2017,85,3896251,20398,167307,3249592,49767,8382
Oregon,2017,97,4025127,5271,183271,3633545,56119,8827
Pennsylvania,2017,221,12790505,100247,513933,11693210,56951,10342
Rhode Island,2017,35,1056138,4865,38469,970742,61043,10290
South Carolina,2017,97,4893444,86483,174121,4216986,48781,7855
South Dakota,2017,37,855444,1582,44644,756360,54126,10440
Tennessee,2017,148,6597381,79179,283172,5788161,48708,8485
Texas,2017,417,27419612,230691,1432501,22026776,57051,7572
Utah,2017,98,2993941,2868,212760,2646042,65325,6628
Vermont,2017,11,624636,536,27448,589214,57808,11521
Virginia,2017,159,8365952,100659,316494,7342809,68766,8176
Washington,2017,157,7169967,19035,307529,6478362,66174,8278
West Virginia,2017,5,1836843,3485,91217,1664214,44061,11017
Wisconsin,2017,115,5763217,30579,258195,5321616,56759,9019
Wyoming,2017,12,583200,370,32873,505488,60938,9496
Alaska,2018,17,738516,1509,29714,611150,76715,12695
Arizona,2018,183,6946685,22033,303345,6089964,56213,7816
Arkansas,2018,76,2990671,34575,132022,2671701,45726,8545
California,2018,962,39148760,131810,1372502,35373781,71228,9069
Connecticut,2018,86,3581504,22948,122755,3333279,76106,11378
Delaware,2018,14,949495,13377,32575,878252,65627,11771
District of Columbia,2018,16,684498,21911,14632,647170,82604,13487
Florida,2018,259,20598139,234840,737560,17543755,53267,9148
Georgia,2018,206,10297484,219566,343557,8719886,55679,7844
Hawaii,2018,76,1422029,1596,19937,1314884,78084,8932
Idaho,2018,36,1687809,771,99197,1482628,53089,7444
Illinois,2018,295,12821497,122892,506757,11714595,63575,9118
